F,GM,NVDA,ALB,QCOM
0.9961565,0.9925682,0.9751716,0.9801499,1.0061005
0.9982702,0.99626493,0.9813384,0.9808838,1.0050851
0.99859303,0.9980565,0.9889333,1.0507632,1.0063866
1.0021311,1.0063862,1.0054476,1.0011427,1.0027977
1.0113412,0.98281366,1.0461437,1.0143759,1.0015367
0.9937865,1.0058886,1.0289104,1.0191618,0.9922557
0.9864272,1.0127572,0.95615476,0.9979461,0.9891916
1.0001274,1.0016468,0.9963979,0.9971004,0.9953533
1.0042571,0.9949454,1.0111656,0.99406075,1.0074886
1.011442,1.0031219,1.0144335,1.0084928,1.0169694
1.0036348,0.99722123,1.0075942,0.99757916,1.006995
0.9937454,0.98197895,1.0084071,0.9919071,0.9995369
0.9905017,1.023173,0.9870763,0.98587066,0.99691826
0.99577975,0.9933441,0.98746485,1.0032218,1.0021855
0.99429715,1.0150404,0.99678224,1.0014136,0.995288
0.9881443,1.0304816,1.0033231,0.9916595,1.0042938
0.9973595,1.0043657,1.0042355,0.99544954,1.0059805
0.9939941,0.99932927,1.0082358,1.0146625,1.0003879
0.9899939,1.0034434,0.9942861,1.0006223,0.99165785
0.98110455,1.0040246,0.98218954,0.98861676,0.9925212
0.97801316,1.0097197,0.9988108,0.9879056,1.0114429
0.99428916,1.0055497,1.013801,1.0117468,1.0239251
0.9915727,0.9969718,0.9980223,0.9888218,0.9973826
1.0085642,1.0001429,1.002039,1.0040578,1.0052844
1.0047083,0.9870303,1.003993,0.99449235,1.0114168
0.99072653,0.98647803,0.98177046,0.97074693,0.9880056
0.98584026,1.0094097,0.99222654,0.99484,0.99618006
1.0007356,0.9972116,1.0028672,0.9960314,0.999902
1.0014755,0.98577195,0.99736536,0.9943971,0.9914521
0.9960521,0.9918492,0.9641517,0.9839849,0.9866886
0.99412215,0.9807,0.9681204,0.975216,0.9933599
0.993225,1.0011289,1.0008487,0.98506343,0.99807143
0.9987005,1.0056713,1.0005347,0.99619174,1.0052742
0.9991182,0.99993855,1.0118914,0.99408686,1.0024115
0.991775,1.0007925,1.0176942,0.99515516,1.0043806
0.9928188,0.98835075,1.0341716,1.0370483,1.0093802
0.9992715,1.0140537,1.0079672,1.0027612,1.0059925
0.9942086,1.014829,0.9983539,0.9893493,0.99605393
0.99914145,1.0037733,0.9972818,0.9840816,0.9990973
0.997658,0.99032605,0.98552644,0.98185253,0.99933064
0.9860514,1.0081154,0.99956703,0.9977358,0.9978695
0.9815114,1.0124263,1.0030785,0.99377084,0.9963209
1.0064942,0.9993278,0.9990444,0.98402864,0.99559873
1.0071862,0.99890053,0.99837625,0.9910075,0.99159837
0.9991222,1.0088563,0.984971,1.0170488,0.99674904
0.9952553,1.0000563,0.9672032,0.9986838,0.99160296
0.99117786,0.99942565,0.9728139,0.98959076,0.9898386
0.99980205,1.010016,0.9946404,1.0061814,1.0027288
1.0153623,0.9919626,1.0001171,1.0059363,1.0153197
